mined_at,tweet_id,tweet_id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,hashtags,source,language,created_at,year,month,day,day_of_week,hour,minute,screen_name,user_tweet_id,user_tweet_id_str,user_favourites_count,followers_count,friends_count,text,user_screen_name,user_id,user_location
2020-06-21 13:02:44.534285,1274533918310649856,1274533918310649856,,,,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",es,2020-06-21 02:45:40+00:00,2020,6,21,6,2,45,g2k88,17769998.0,17769998.0,3393.0,362,926,RT @gilgamezh: En el laburo su suspendió la fiesta del verano por el covid y entonces nos mandaron un kit de picnic a todes. Incluyendo com…,,,
2020-06-21 13:02:44.534285,1274536378110562304,1274536378110562304,,,,[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,2020-06-21 02:55:26+00:00,2020,6,21,6,2,55,bmxfrank,14647515.0,14647515.0,2171.0,210,350,"I got to see my mom today for the 1st time since COVID hit and the world shut down. 
It brought peace of mind to see her smile in person as we had a picnic lunch by the water, away from people. 
Today was a good day.",,,
2020-06-21 13:02:46.612894,1274571812374970370,1274571812374970370,,,,[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,2020-06-21 05:16:15+00:00,2020,6,21,6,5,16,STEALTH_BEAR,2457330163.0,2457330163.0,158710.0,798,4979,"Today we had a social distancing picnic for Father's Day, my Grandfather's 82nd Birthday &amp; my cousin being pregnant! We were never around each other, 1 person dished all plates aka me! I've already had COVID-19. We even made sure that while we were in the pool we were spaced out!",,,
2020-06-21 13:02:48.349629,1274583749100015616,1274583749100015616,,,,[],"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",en,2020-06-21 06:03:41+00:00,2020,6,21,6,6,3,massareto,18029931.0,18029931.0,2.0,97,21,"Business resilience in the time of COVID-19: The story of a picnic company, a magician and a … https://t.co/HUahm1Gm0h",,,
2020-06-21 13:02:45.561162,1274586662367039489,1274586662367039489,,,,[],"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",en,2020-06-21 06:15:15+00:00,2020,6,21,6,6,15,Zul21,103506905.0,103506905.0,3380.0,73,229,It's our 1065 DAYsary together. Simplest and advance anniversary celebration together due to covid-19. We would have watched movie and probably going for a picnic but that can wait. I will… https://t.co/cnGV9mu91N,,,
2020-06-21 13:02:49.047879,1274657508028747776,1274657508028747776,Melusi_MD,1.2746276947356344e+18,120903580.0,[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,2020-06-21 10:56:46+00:00,2020,6,21,6,10,56,silimabz,176888995.0,176888995.0,602.0,114,158,"@Melusi_MD But... COVID babe.
I'm not going anywhere near a restaurant. But as soon as they tell us we can picnic in parks, I'm there. I wish I was a hiker, I would've been out ages ago.",,,
2020-06-21 13:02:46.612894,1274658435456434177,1274658435456434177,,,,[{'text': 'FactFriday'}],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,2020-06-21 11:00:27+00:00,2020,6,21,6,11,0,Picnic_Techno,1.2637555783519437e+18,1.2637555783519437e+18,19.0,2,3,RT @zasteo: #FactFriday Fintech savings and investing boom isnt just a domestic affair https://t.co/Y6ywAWL7TX he COVID-19 pandemic disrupt…,,,
2020-06-21 13:02:47.145503,1274658683126001664,1274658683126001664,,,,"[{'text': 'FactFriday'}, {'text': 'financialservices'}, {'text': 'innovation'}, {'text': 'community'}, {'text': 'COVID'}]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,2020-06-21 11:01:26+00:00,2020,6,21,6,11,1,Picnic_Techno,1.2637555783519437e+18,1.2637555783519437e+18,19.0,2,3,RT @zasteo: #FactFriday I have been amazed at the response of the #financialservices #innovation #community to the #COVID-19 crisis. It's a…,,,
2020-06-22 15:28:31.546323,1274906915143692288,1274906915143692288,,,,"[{'text': 'suspro'}, {'text': 'vegan'}]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,2020-06-22 03:27:49+00:00,2020,6,22,0,3,27,SusproFoods,8.697744159232614e+17,8.697744159232614e+17,,207,324,"Perfect timing for COVID-19 to die down a bit as the sun starts to shine. Go out and enjoy but remember to stay socially distance. Various outdoor ideas include picnic, hiking, walking in the park, jogging, or golfing. What are some of your favourite activities? #suspro #vegan https://t.co/N1DbJSFSt4",,,
2020-06-22 15:28:34.730877,1274907672333221889,1274907672333221889,,,,[],"<a href=""https://www.qureet.com"" rel=""nofollow"">Qureet Leads</a>",en,2020-06-22 03:30:50+00:00,2020,6,22,0,3,30,LohasTopStories,3332182334.0,3332182334.0,,8341,1493,RT @SusproFoods: Perfect timing for COVID-19 to die down a bit as the sun starts to shine. Go out and enjoy but remember to stay socially d…,,,
2020-06-22 15:28:32.511010,1274923618498207744,1274923618498207744,,,,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",es,2020-06-22 04:34:12+00:00,2020,6,22,0,4,34,ramirez_f23,1584172249.0,1584172249.0,,1378,580,Yo cuando no fui a Picnic porque estaba ahorrando para mi viaje y tampoco fui a mi viaje por el Covid: https://t.co/CTFtt3f54J,,,
2020-06-22 15:28:33.439709,1274943622836744192,1274943622836744192,carolduncan,1.2748395829078303e+18,20032587.0,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,2020-06-22 05:53:41+00:00,2020,6,22,0,5,53,SerenasSoapbox,15213963.0,15213963.0,44052.0,425,781,"@carolduncan Yep. The ongoing health problems for those who have ‘recovered’ sound terrible. No thank you. 

I got shingles in the ear at 42. Nearly lost my hearing in one ear, damaged my balance. Live with tinnitus. Took 12 months to regain energy. Yet sounds like a picnic compared to covid",,,
2020-06-22 15:28:34.730877,1274948565530316801,1274948565530316801,,,,[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,2020-06-22 06:13:20+00:00,2020,6,22,0,6,13,nessiejones22,3647429599.0,3647429599.0,,591,785,"During our covid world, would you use a picnic table in a public park?",,,
2020-06-22 15:28:32.854527,1274964101207392256,1274964101207392256,,,,[],"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",en,2020-06-22 07:15:04+00:00,2020,6,22,0,7,15,d_chungster,1482184597.0,1482184597.0,,355,832,"Business resilience in the time of COVID-19: The story of a picnic company, a magician and a corporate training firm https://t.co/aNzZ3pDuqk",,,
2020-06-22 15:28:30.426025,1274991554566987777,1274991554566987777,,,,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,2020-06-22 09:04:09+00:00,2020,6,22,0,9,4,rohanitarohin,151902956.0,151902956.0,,414,771,"Business resilience in the time of COVID-19: The story of a picnic company, a magician and a corporate training firm https://t.co/6w3qSjdjuq",,,
2020-06-22 15:28:31.892237,1274992893187493889,1274992893187493889,Xephelias_Sama,1.2749903684345897e+18,2320663181.0,[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",fr,2020-06-22 09:09:28+00:00,2020,6,22,0,9,9,Swtchz,3631835297.0,3631835297.0,263.0,34,77,@Xephelias_Sama Avec le COVID c'est un peu chaud mais promis le picnic quand ce sera plus safe hein,,,
2020-06-22 15:28:28.650354,1274993088944123904,1274993088944123904,,,,[{'text': 'Pune'}],"<a href=""http://byteco.de"" rel=""nofollow"">pune_pulse</a>",en,2020-06-22 09:10:15+00:00,2020,6,22,0,9,10,pune_pulse,65551875.0,65551875.0,,9159,2,#Pune Avoid picnic spots to curb Covid-19 spread: Pune cops - https://t.co/i4LTskL4P4,,,
2020-06-22 15:28:32.854527,1274993672447238146,1274993672447238146,,,,[{'text': 'Pune'}],"<a href=""https://lol.co.com"" rel=""nofollow"">Bhurtya1</a>",en,2020-06-22 09:12:34+00:00,2020,6,22,0,9,12,bhurtya,1.217871248564224e+18,1.217871248564224e+18,,739,34,RT @pune_pulse: #Pune Avoid picnic spots to curb Covid-19 spread: Pune cops - https://t.co/i4LTskL4P4,,,
2020-06-22 15:28:33.439709,1275006918638088193,1275006918638088193,,,,[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,2020-06-22 10:05:12+00:00,2020,6,22,0,10,5,HorblingBrowns,2285005333.0,2285005333.0,,217,186,"Mr Buckeridge's Collective Worship during COVID-19. Join us as we enjoy some food, have a story about a picnic and ask why Jesus likened Himself to Bread! 
https://t.co/PplCW3XXil",,,
2020-06-22 15:28:31.006257,1275020713385013248,1275020713385013248,,,,"[{'text': 'entrepreneurship'}, {'text': 'businessmodel'}]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,2020-06-22 11:00:01+00:00,2020,6,22,0,11,0,skyhigh_vip,9.763395849623306e+17,9.763395849623306e+17,,1299,1340,"[COVID-19 News, Skyhigh. Vip]  Inspiring stories of how small business transform their business model into digital, something that never they thought before.  -ITA-

. 
#entrepreneurship  #businessmodel 
https://t.co/m6uCCAtzKM",,,
2020-06-22 15:28:31.006257,1275022710431768576,1275022710431768576,,,,[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,2020-06-22 11:07:57+00:00,2020,6,22,0,11,7,Ko_mo_rebi,2751971306.0,2751971306.0,,60,127,"Can't wait for our cute 1,5 meters apart cause of covid picnic 💕",,,
2020-06-22 15:28:28.999465,1275026900327464976,1275026900327464976,,,,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,2020-06-22 11:24:36+00:00,2020,6,22,0,11,24,judeinlondon2,536418049.0,536418049.0,,12017,843,My friends mum passed away from Covid and she has no idea all her childhood friends are descending to the flats we grew up in for a socially distanced picnic to cheer her up. I hate this bastard govt that it has to be this way,,,
2020-06-24 17:16:10.649508,1275617351044644866,1275617351044644866,,,,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,2020-06-24 02:30:50+00:00,2020,6,24,2,2,30,,,,,45,537,Sitting her planning my birthday picnic and realizing that all of my best guy friends moved back home because of Covid 🤧😩😩😩,saidTCeleste,1.2516614836683776e+18,
2020-06-24 17:16:13.136173,1275627754130563075,1275627754130563075,,,,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,2020-06-24 03:12:11+00:00,2020,6,24,2,3,12,,,,,614,659,i jus wanna know who said i couldn’t adopt a dog this year at the picnic bc it’s canceled due to covid lmao,ce1esteee,2733877696.0,
2020-06-24 17:16:11.430794,1275644926664019969,1275644926664019969,,,,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,2020-06-24 04:20:25+00:00,2020,6,24,2,4,20,,,,,118,753,RT @ChrisMWilliams: Just wanted to let my radio &amp; CF audience/Twitter family know that I have tested positive for COVID-19. This is no picn…,SeanLikeConnery,9.956567303098081e+17,
2020-06-24 17:16:12.171422,1275649581141934081,1275649581141934081,,,,[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,2020-06-24 04:38:55+00:00,2020,6,24,2,4,38,,,,,450,379,"@difusella @ClayneCrawford @CCF_Birmingham I can understand. With Covid-19 still going on, I can't imagine traveling out of the country this year. You're going to have so much fun next year at the picnic and that's great you can make it a longer trip. 😊💕",TakenByTC,76281701.0,
2020-06-24 17:16:13.136173,1275676090686746624,1275676090686746624,,,,[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,2020-06-24 06:24:15+00:00,2020,6,24,2,6,24,,,,,119,1315,"RT @yc: It’s really hitting right now me how many people have fucking died of COVID, of lack of healthcare, of violence, of racism, and on…",picnic_crasher,18290294.0,
2020-06-24 17:16:11.717203,1275677451692191744,1275677451692191744,,,,"[{'text': 'timeout'}, {'text': 'picnic'}, {'text': 'pic'}, {'text': 'art'}, {'text': 'africa'}, {'text': 'black'}, {'text': 'culture'}, {'text': 'explore'}, {'text': 'eventmanagement'}, {'text': 'design'}, {'text': 'goodvibes'}, {'text': 'healthylifestyle'}, {'text': 'happiness'}, {'text': 'xoxo'}, {'text': 'jumping'}, {'text': 'instagram'}, {'text': 'laughter'}, {'text': 'love'}, {'text': 'covid_19'}, {'text': 'people'}]","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",en,2020-06-24 06:29:40+00:00,2020,6,24,2,6,29,,,,,73,75,"Woman Crush Wednesday!

#timeout #picnic #pic #art #africa #black #culture #explore #eventmanagement #design #goodvibes #healthylifestyle #happiness💕 #xoxo #jumping #instagram #laughter #love #covid_19 #people… https://t.co/BMJuGIDXDq",EventsTimeout,1.1512443408633938e+18,
2020-06-24 17:16:09.508551,1275683468962418688,1275683468962418688,difusella,1.2756457308086313e+18,219572103.0,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,2020-06-24 06:53:34+00:00,2020,6,24,2,6,53,,,,28966.0,514,880,@difusella @ClayneCrawford @CCF_Birmingham I don’t blame you Di. COVID-19 is still going strong and I personally wouldn’t take the risk of traveling or being in a crowd of people at this time. Hopefully next year will go much more smoothly and y’all can have a great time at the picnic. 🐷,Southern__77,604356432.0,"Mississippi, USA"
2020-06-24 17:16:10.840117,1275697973519945734,1275697973519945734,,,,[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,2020-06-24 07:51:12+00:00,2020,6,24,2,7,51,,,,,284,675,"RT @BJP4Bengal: While Modi government is burning the midnight oil to contain the Covid pandemic in India, TMC workers in Bengal hold picnic…",Dibyend98681969,1.1807081859816407e+18,
2020-06-24 17:16:11.717203,1275713013295788035,1275713013295788035,G_Squared39,1.2756545394928886e+18,1695156518.0,[],"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",en,2020-06-24 08:50:58+00:00,2020,6,24,2,8,50,,,,786.0,48,38,"@G_Squared39 @NotKallyn I hope this has answered all of your questions in a satisfactory manner. I need some sleep as I am going on a picnic with a friend, and a boat ride with my mom (with proper COVID-19 safety, of course.) You have a great morning, and if you have further questions DM me. God bless!",VelvetRasputin,1.2443209299305103e+18,"Rice, MN"
2020-06-24 17:16:12.171422,1275718325042061312,1275718325042061312,SilverDraws,1.275506760921596e+18,18228424.0,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,2020-06-24 09:12:05+00:00,2020,6,24,2,9,12,,,,751.0,295,497,"@SilverDraws Sat outside there with my dinner last night - loved this picnic bench for bringing people together (post Covid, of course!) https://t.co/tTzOnBDrDg",LeedsResidents,1.0771356411068908e+18,"Leeds, England"
2020-06-24 17:16:10.079175,1275765811920207873,1275765811920207873,,,,[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,2020-06-24 12:20:46+00:00,2020,6,24,2,12,20,,,,,1287,894,"Ooh this picnic is making us hungry 😋🥪
📸 by our_journey_covid_19 
https://t.co/rqtJtCRMik https://t.co/0bJM0qcayK",Mothershiptons,477234365.0,
2020-06-24 17:16:10.079175,1275775696741302273,1275775696741302273,,,,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,2020-06-24 13:00:03+00:00,2020,6,24,2,13,0,,,,,342,374,"RT @NortheastTech: COVID canceled our end-of-year picnic, but it can't stop us from recognizing our outstanding employees on social media!…",willieng85,2317361744.0,
2020-06-24 17:16:08.277456,1275776179979485185,1275776179979485185,,,,[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",tl,2020-06-24 13:01:58+00:00,2020,6,24,2,13,1,,,,,277,216,Imal na kaayog post na picnic akong ig-agaw na naas gawas kay wa na silay covid PINAS ANUNA,viemariee,2412635150.0,
2020-06-24 17:16:11.911963,1275806639749242880,1275806639749242880,,,,[],"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",en,2020-06-24 15:03:00+00:00,2020,6,24,2,15,3,,,,,10434,6450,A New Photographic Series Makes the Most of Lockdown Props https://t.co/ObIKvePeup,squatterant,3438250311.0,
